S.ID,r01,r12,r23,r3x,r02,r13,r2x,C0r1,C0,C1,C2,C3,C4r1,C4,C5,C5m,C6r1,C6r2,C6,C6m,Pattern,Edit,Origin,V.ID,V.freq
s121,0.17,0.39,0.23,0.21,0.56,0.62,0.44,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p4,p,o09,v111,111
s122,0.03,0.32,0.34,0.31,0.35,0.65,0.65,UNA,UNA,UNA,UNA,UNA,X,UNA,X,X,Y,Y,X,X,p3,p,o18,v450,450
s123,0.06,0.3,0.32,0.32,0.36,0.63,0.64,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,Y,Y,X,X,p4,p,o09,v111,111
s124,0.58,0.24,0.1,0.08,0.82,0.34,0.18,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,n,o17,v447,447
s125,0.89,0.1,0.01,0.01,0.98,0.11,0.02,A,A,A,A,A,A,A,A,A,A,A,A,A,p5,n,o24,v713,713
s126,0.07,0.25,0.33,0.35,0.32,0.58,0.68,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,p,o02,v18,18
s127,0.04,0.21,0.36,0.4,0.25,0.57,0.75,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,p,o19,v450,450
s128,0.03,0.32,0.21,0.44,0.35,0.53,0.65,UNA,UNA,UNA,UNA,UNA,X,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p5,p,o17,v447,447
s129,0.02,0.18,0.33,0.47,0.2,0.51,0.8,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,v,,v377,377
s130,0.72,0.2,0.06,0.02,0.92,0.26,0.08,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,n,o25,v807,807
s131,0.08,0.52,0.24,0.16,0.6,0.76,0.4,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p2,s,o12,v183,183
s132,0.7,0.22,0.06,0.02,0.92,0.28,0.08,A,A,A,A,A,A,A,A,A,A,A,A,A,p2,v,o11,v155,155
s133,0.15,0.35,0.27,0.23,0.49,0.62,0.51,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p3,s,o32,v958,958
s134,0.17,0.29,0.31,0.23,0.46,0.6,0.54,UNA,UNA,UNA,UNA,UNA,X,X,X,X,Y,Y,X,X,p5,v,o17,v447,447
s135,0.71,0.23,0.05,0.02,0.93,0.28,0.07,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,n,o16,v345,345
